rank,score,tier,id,uuid,title,product_use,categories,spatial_type,resolution,temporal_start,temporal_end,update_frequency,license,publisher,publication_date,popularity,keywords,bbox_west,bbox_south,bbox_east,bbox_north,overlaps_nepal,landing_page,reasons
1,270,critical,1972483,c12cb336-f9c0-4096-8852-ba810e95e417,"Glacier mass balance data from Rikha Samba, Nepal",real-time weather / forecast,weather_climate; cryosphere; hazard; hydrology,,,2011-09-17t18:15:00.000z,2020-12-30t18:15:00.000z,Annually,,ICIMOD,2019-11-26,13771,Glacier mass balance; Cryosphere; Rikha Samba; Hidden Valley; Mustang; Nepal; Climatology; meteorology; atmosphere,83.4667,28.7833,83.5167,28.85,true,https://rds.icimod.org/Home/DataDetail?metadataId=1972483,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Recent temporal coverage (≥2020); High portal popularity
2,258,critical,1972482,c6e417bd-f3a7-468b-ad38-b4532c4fa050,Yala glacier seasonal and annual mass balance data,real-time weather / forecast,weather_climate; cryosphere; hazard; hydrology,,,2011-09-17t18:15:00.000z,2020-12-30t18:15:00.000z,Biannually,,ICIMOD,2019-11-26,13279,Glacier mass balance; Cryosphere; Langtang Valley; Rasuwa; Nepal; Climatology; meteorology; atmosphere,85.5833,28.2167,85.6333,28.25,true,https://rds.icimod.org/Home/DataDetail?metadataId=1972482,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Recent temporal coverage (≥2020); High portal popularity
3,201,critical,35856,38969fc8-85e4-455b-81b9-00242faf58a9,The Status of Glacial Lakes in the Hindu Kush Himalaya,snowline / glacier context,cryosphere; terrain_landcover; remote_sensing,Vector,50000,2002-12-31t18:15:00.000z,2007-12-30t18:15:00.000z,Not planned,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2018-03-19,20419,Glacial lake; lake; GLOF; Cryosphere; HKH; Amu Darya; Indus; Ganges; Brahmaputra; Irrawaddy; Afghanistan; Bhutan; China; India; Nepal; Pakistan; Geoscientific information,68.355,27.238,98.424,38.327,true,https://rds.icimod.org/Home/DataDetail?metadataId=35856,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
4,193,critical,24679,c51ab7b1-228d-4776-9384-184b6e0d3686,Anti Dip Slope - Hazard Mapping of Nepal's Gorkha Earthquake 2015 induced landslide Dams,real-time weather / forecast,weather_climate; cryosphere; hazard; hydrology; terrain_landcover,,30 m,2015-09-21t18:15:00.000z,2015-09-21t18:15:00.000z,As needed,"Creative Commons Attribution 4.0 International (CC BY 4.0) | The SERVIR Project, NASA, USAID and ICIMOD make no express ",ICIMOD,2015-09-22,47559,Landslide; Landslide Dam; Coseismic Landslide; Earthquake; Geohazards; Rockslide; Safety Factors; icimod-servir; servircat; Geo-disasters; Anti Dip; Slope; Gorkha; Nepal; Geoscientific information,83.536,27.283,86.291,28.688,true,https://rds.icimod.org/Home/DataDetail?metadataId=24679,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
5,193,critical,24676,5aef98ad-1889-4bde-9b23-ba05ddde6c87,Geological data of Nepal's Gorkha Earthquake 2015 affected area,real-time weather / forecast,weather_climate; cryosphere; hazard; hydrology; terrain_landcover,Vector,5000,2015-09-21t18:15:00.000z,2015-09-21t18:15:00.000z,As needed,"Creative Commons Attribution 4.0 International (CC BY 4.0) | The SERVIR Project, NASA, USAID and ICIMOD make no express ",ICIMOD,2015-09-22,47522,Landslide; Landslide Dam; Coseismic Landslide; Earthquake; Geohazards; Rockslide; Safety Factors; icimod-servir; servircat; Geo-disasters; Geology; Gorkha; Nepal; Geoscientific information,83.536,27.283,86.291,28.688,true,https://rds.icimod.org/Home/DataDetail?metadataId=24676,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
6,193,critical,24683,60c5e753-6c53-4184-845c-8a680feb46d7,Internal Relief Map of Nepal's Gorkha Earthquake 2015 affected area,real-time weather / forecast,weather_climate; cryosphere; hazard; hydrology; terrain_landcover,,30 m,2015-09-21t18:15:00.000z,2015-09-21t18:15:00.000z,As needed,"Creative Commons Attribution 4.0 International (CC BY 4.0) | The SERVIR Project, NASA, USAID and ICIMOD make no express ",ICIMOD,2015-09-22,47034,Landslide; Landslide Dam; Coseismic Landslide; Earthquake; Geohazards; Rockslide; Safety Factors; icimod-servir; servircat; Geo-disasters; Relief; Gorkha; Nepal; Geoscientific information,83.536,27.283,86.291,28.688,true,https://rds.icimod.org/Home/DataDetail?metadataId=24683,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
7,193,critical,24677,92efe7eb-4704-4026-9f1b-9a88f79668d6,Possible Damming Site - Hazard Mapping of Nepal's Gorkha Earthquake 2015 induced landslide dams,real-time weather / forecast,weather_climate; cryosphere; hazard; hydrology; terrain_landcover,Vector,5000,2015-09-21t18:15:00.000z,2015-09-21t18:15:00.000z,As needed,"Creative Commons Attribution 4.0 International (CC BY 4.0) | The SERVIR Project, NASA, USAID and ICIMOD make no express ",ICIMOD,2015-09-22,48025,Landslide; Landslide Dam; Coseismic Landslide; Earthquake; Geohazards; Rockslide; Safety Factors; icimod-servir; servircat; Geo-disasters; Dams; Gorkha; Nepal; Geoscientific information,83.536,27.283,86.291,28.688,true,https://rds.icimod.org/Home/DataDetail?metadataId=24677,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
8,188,critical,24682,a2702533-c5e6-4b6d-8411-c663d5243fc9,Dip Slope - Hazard Mapping of Nepal's Gorkha Earthquake 2015 induced landslide Dams,real-time weather / forecast,weather_climate; cryosphere; hazard; hydrology; terrain_landcover,,30 m,2015-09-21t18:15:00.000z,2015-09-21t18:15:00.000z,As needed,"Creative Commons Attribution 4.0 International (CC BY 4.0) | The SERVIR Project, NASA, USAID and ICIMOD make no express ",ICIMOD,2015-09-22,7405,Landslide; Landslide Dam; Coseismic Landslide; Earthquake; Geohazards; Rockslide; Safety Factors; icimod-servir; servircat; Geo-disasters; Dip Slope; Gorkha; Nepal; Geoscientific information,83.536,27.283,86.291,28.688,true,https://rds.icimod.org/Home/DataDetail?metadataId=24682,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY)
9,188,critical,24681,2fde278f-a406-411c-91aa-6094dd81efe5,Dip Normal Slope - Hazard Mapping of Nepal's Gorkha Earthquake 2015 induced landslide Dams,real-time weather / forecast,weather_climate; cryosphere; hazard; hydrology; terrain_landcover,,30 m,2015-09-21t18:15:00.000z,2015-09-21t18:15:00.000z,As needed,"Creative Commons Attribution 4.0 International (CC BY 4.0) | The SERVIR Project, NASA, USAID and ICIMOD make no express ",ICIMOD,2015-09-22,7373,Landslide; Landslide Dam; Coseismic Landslide; Earthquake; Geohazards; Rockslide; Safety Factors; icimod-servir; servircat; Geo-disasters; Dip Normal; Slope; Gorkha; Nepal; Geoscientific information,83.536,27.283,86.291,28.688,true,https://rds.icimod.org/Home/DataDetail?metadataId=24681,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY)
10,188,critical,24267,47c1b330-6ee6-41cf-ba3f-9ad3ad72e290,Attitude of Geological Structural data of Nepal's Gorkha Earthquake 2015 affected area,real-time weather / forecast,weather_climate; cryosphere; hazard; hydrology; terrain_landcover,Vector,5000,2015-09-21t18:15:00.000z,2015-09-21t18:15:00.000z,As needed,"Creative Commons Attribution 4.0 International (CC BY 4.0) | The SERVIR Project, NASA, USAID and ICIMOD make no express ",ICIMOD,2015-09-22,7398,Landslide; Landslide Dam; Coseismic Landslide; Earthquake; Geohazards; Rockslide; Safety Factors; icimod-servir; servircat; Geo-disasters; Gorkha; Nepal; Geoscientific information,83.536,27.283,86.291,28.688,true,https://rds.icimod.org/Home/DataDetail?metadataId=24267,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY)
11,187,critical,1971950,799aab42-e816-4e7d-87bb-8b2147eb6a1a,"Potentially dangerous glacial lakes in the Koshi, Gandaki, and Karnali river basins of Nepal, the Tibet Autonomous Region of China, and India",real-time weather / forecast,weather_climate; cryosphere; hazard; hydrology; terrain_landcover; remote_sensing,Vector,,2015-08-31t18:15:00.000z,2016-12-11t18:15:00.000z,As needed,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2020-09-10,73083,Glacial Lake; Potential dangerous glacial lakes; GLOF; Cryosphere; Nepal; China; India; Geoscientific information,80.3847,27.6854,88.2922,30.4473,true,https://rds.icimod.org/Home/DataDetail?metadataId=1971950,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
12,187,critical,1971946,777e6cb6-c2db-47ab-852c-48bd0f24a158,"Glacial lakes in the Koshi, Gandaki, and Karnali river basins of Nepal, the Tibet Autonomous Region of China, and India",real-time weather / forecast,weather_climate; cryosphere; hydrology; terrain_landcover; remote_sensing,Vector,,2015-08-31t18:15:00.000z,2016-12-11t18:15:00.000z,As needed,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2020-09-10,73660,Glacial Lake; Potential dangerous glacial lakes; GLOF; Cryosphere; Nepal; China; India; Geoscientific information,80.0726,27.4357,88.7198,30.622,true,https://rds.icimod.org/Home/DataDetail?metadataId=1971946,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
13,179,critical,1973283,8881454b-6f7c-461b-95c2-eaf7618230d9,GLOF database of High Mountain Asia,snowline / glacier context,cryosphere; hazard; hydrology; terrain_landcover,"Text, table",,1982-12-31t18:30:00.000z,2022-07-04t18:15:00.000z,As needed,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2022-10-19,7152,Glacial lake; GLOFs; GLOF Inventory; Cryosphere; High Mountain Asia; Geoscientific information,68,26,102,46,true,https://rds.icimod.org/Home/DataDetail?metadataId=1973283,Spatial extent overlaps Nepal; Recent temporal coverage (≥2020); Long temporal baseline (≥10 years); Open license (CC BY)
14,176,critical,1973447,b80287b9-2978-48c2-b386-bd5f1449d84f,Decadal glacier changes from 1990 to 2020 in the Hindu Kush Himalaya,real-time weather / forecast,weather_climate; cryosphere; hydrology; terrain_landcover; remote_sensing,,,1989-12-31t18:15:00.000z,2020-12-30t18:15:00.000z,As needed,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2026-03-19,11336,Glacier; Cryosphere; Decadal Change; Glacier Change; Debris-covered; Clean Ice; Hindu Kush Himalaya; Mountain ranges; Himalaya; Karakoram; Gangdise; Ganges; Indus; Amu Darya; Brahmaputra; Irrawaddy; Salween; Mekong; Yangtze; Yellow River; Tarim; Qinghai Tibetan; Nyainqêntanglha; Hengduan Shan; Tanggula Shan; Tibetan; Qilian Shan; Kunlun Shan; Pamir; Altun Shan; Geoscientific information,67.6,27,103.9,39.3,true,https://rds.icimod.org/Home/DataDetail?metadataId=1973447,Spatial extent overlaps Nepal; Recent temporal coverage (≥2020); Long temporal baseline (≥10 years); Open license (CC BY); High portal popularity
15,174,critical,9359,f319036a-64ab-4583-a1bc-5df7b67119a7,Status of Glaciers in Hindu Kush Himalayan (HKH) Region,real-time weather / forecast,weather_climate; cryosphere; hydrology; terrain_landcover; remote_sensing,Vector,50000,2001-12-31t18:15:00.000z,2008-12-30t18:15:00.000z,As needed,Creative Commons Attribution 4.0 International (CC BY 4.0) | Free to use with copyright to ICIMOD. Citation: Bajracharya,ICIMOD,2011-12-04,19714,Cryosphere; Glacier; Basin; Climate change; HKH; Amu Darya; Indus; Ganges; Brahmaputra; Irrawaddy; Nepal; Bhutan; China; India; Pakistan; Afghanistan; Geoscientific information,98.492,38.346,67.631,27.492,false,https://rds.icimod.org/Home/DataDetail?metadataId=9359,Spatial extent overlaps HKH region; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
16,173,critical,1972412,37e2b5c8-7613-4ec6-aff0-1807a3c47baa,Micromet station: Yala 1,real-time weather / forecast,weather_climate; cryosphere,,,2016-10-29t18:15:00.000z,2017-04-22t18:15:00.000z,Not planned,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2020-03-11,12396,clean ice; climate; cryosphere; Langtang; Nepal; Climatology; meteorology; atmosphere,85.62512,28.23425,85.62512,28.23425,true,https://rds.icimod.org/Home/DataDetail?metadataId=1972412,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
17,172,critical,1973127,b2eaf6b4-b30e-40e5-8d7e-a64d2fa43655,HydroSAR Hydro30 Surface Water Extent Product of flood-prone regions in the Hindu Kush Himalaya (HKH),real-time weather / forecast,weather_climate; hazard; hydrology; terrain_landcover; remote_sensing,,30 m,2022-05-15t18:15:00.000z,2022-12-30t18:15:00.000z,Daily,Free to use with attribution. Suggested credit statement: HydroSAR Hydro30 water extent product processed by ASF DAAC Hy,ICIMOD,2022-08-29,2572,Flood; Inundation; Sentinel-1; Water area; Bangladesh; India; Nepal; Terai; Geoscientific information,76.224,20.0206,97.511,31.037,true,https://rds.icimod.org/Home/DataDetail?metadataId=1973127,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Recent temporal coverage (≥2020); High update frequency
18,171,critical,18532,ac9467ac-34b1-4109-906c-182053ca1106,"Meteorological Data of HYCOS Automatic Weather Station at Humla, Nepal",real-time weather / forecast,weather_climate,,,2026-05-08t18:14:59.000z,2026-05-08t18:14:59.000z,As needed,,ICIMOD,2014-11-11,1782,HYCOS; Rainfall; Meteorological Station; Temperature; Relative Humidity; Wind Direction; Wind Speed; Pressure; Automatic Weather Station; AWS; Humla; Nepal; Climatology; meteorology; atmosphere,81.8158,29.9716,81.815799833333,29.9716,true,https://rds.icimod.org/Home/DataDetail?metadataId=18532,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Recent temporal coverage (≥2020)
19,171,critical,19172,ae257904-fda3-47d7-92fb-b3a0a060faaa,"Meteorological Data of HYCOS Automatic Weather Station at Baitadi, Nepal",real-time weather / forecast,weather_climate,,,2026-05-08t18:14:59.000z,2026-05-08t18:14:59.000z,As needed,,ICIMOD,2014-11-11,4855,HYCOS; Rainfall; Meteorological Station; Wind Speed; Wind Direction; Pressure; Temperature; Automatic Weather Station; AWS; Baitadi; Nepal; Climatology; meteorology; atmosphere,80.0522,26.36836,88.19456,30.42472,true,https://rds.icimod.org/Home/DataDetail?metadataId=19172,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Recent temporal coverage (≥2020)
20,171,critical,18504,a6807685-33a9-422e-85d1-48b0d5d38e37,"Meteorological Data of HYCOS Automatic Weather Station at Jumla, Nepal",real-time weather / forecast,weather_climate,,,2026-05-08t18:14:59.000z,2026-05-08t18:14:59.000z,As needed,,ICIMOD,2014-11-11,2145,HYCOS; Rainfall; Meteorological Station; Wind Speed; Wind Direction; Pressure; Temperature; Automatic Weather Station; AWS; Jumla; Nepal; Climatology; meteorology; atmosphere,82.1936,29.44047,82.1936,29.44047,true,https://rds.icimod.org/Home/DataDetail?metadataId=18504,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Recent temporal coverage (≥2020)
21,171,critical,19170,b962bbed-2786-41f4-a96a-3d94e465cda2,"Meteorological Data of HYCOS Automatic Weather Station at Chainpur, Nepal",real-time weather / forecast,weather_climate,,,2026-05-08t18:14:59.000z,2026-05-08t18:14:59.000z,As needed,,ICIMOD,2014-11-11,2251,HYCOS; Rainfall; Meteorological Station; Wind Speed; Wind Direction; Pressure; Temperature; Automatic Weather Station; AWS; Chainpur; Nepal; Bajhang; Climatology; meteorology; atmosphere,81.2005,29.5455,81.2005,29.5455,true,https://rds.icimod.org/Home/DataDetail?metadataId=19170,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Recent temporal coverage (≥2020)
22,169,critical,1972410,6dda64f7-cd65-4e09-ad8c-3e8623ef8e87,Micromet station: Yala 3,real-time weather / forecast,weather_climate; cryosphere; route_context,,,2016-10-27t18:15:00.000z,2017-04-20t18:15:00.000z,Annually,Creative Commons Attribution 4.0 International (CC BY 4.0),ICIMOD,2020-03-11,12416,clean ice; climate; cryosphere; Langtang; Nepal; Climatology; meteorology; atmosphere,85.60724,28.22424,85.60724,28.22424,true,https://rds.icimod.org/Home/DataDetail?metadataId=1972410,Spatial extent overlaps Nepal; Explicitly mentions Nepal; Open license (CC BY); High portal popularity
23,168,critical,1972411,f529c6ff-4047-428d-8128-095f333c0481,Micromet station: Yala 2,real-time weather / forecast,weather_climate; cryosphere,,,2016-10-28t18:15:00.000z,2017-04-21t18:15:00.000z,Not planned,Free to use with attribution to the source. Funded via the European Research Council (ERC) under the European Unions Hor,ICIMOD,2020-03-11,12282,clean ice; climate; cryosphere; Langtang; Nepal; Yala; Climatology; meteorology; atmosphere,85.61608,28.23457,85.61608,28.23457,true,https://rds.icimod.org/Home/DataDetail?metadataId=1972411,Spatial extent overlaps Nepal; Explicitly mentions Nepal; High portal popularity
24,163,critical,18403,1d99574f-ceee-4d9b-96bd-887a41caf2a4,"Meteorological Data of HYCOS Automatic Weather Station at Dhankuta, Nepal",real-time weather / forecast,weather_climate,,,2012-04-16t04:30:00.000z,2013-12-31t06:00:00.000z,As needed,,ICIMOD,2014-11-11,4716,HYCOS; Rainfall; Meteorological Station; Temperature; Relative Humidity; Pressure; Wind Direction; Speed; Automatic Weather Station; AWS; Dhankuta; Nepal; Climatology; meteorology; atmosphere,87.3459,26.9833,87.3459,26.9833,true,https://rds.icimod.org/Home/DataDetail?metadataId=18403,Spatial extent overlaps Nepal; Explicitly mentions Nepal
25,163,critical,18456,0fe8a6d7-881f-4205-b2f0-c80a17cbd8fb,"Meteorological Data of HYCOS Automatic Weather Station at Okhalddhunga, Nepal",real-time weather / forecast,weather_climate,,,2012-06-19t07:15:00.000z,2013-12-31t06:00:00.000z,As needed,,ICIMOD,2014-11-11,1711,HYCOS; Rainfall; Meteorological Station; Temperature; Relative Humidity; Wind Direction; Wind Speed; Pressure; Okhalddhunga; Nepal; Climatology; meteorology; atmosphere,86.5042,27.3082,86.504199833333,27.3082,true,https://rds.icimod.org/Home/DataDetail?metadataId=18456,Spatial extent overlaps Nepal; Explicitly mentions Nepal
